year,month,day,hour,trips,day_of_week,event_of_day
0,0,0,0,761689,0, 
2016,0,0,0,98637,0, 
2016,7,0,0,11420,0, 
2016,7,7,0,190,5, 
2016,7,7,5,1,5, 
2016,7,7,7,1,5, 
2016,7,7,11,2,5, 
2016,7,7,13,4,5, 
2016,7,7,14,38,5, 
2016,7,7,15,19,5, 
2016,7,7,16,9,5, 
2016,7,7,17,16,5, 
2016,7,7,18,14,5, 
2016,7,7,19,20,5, 
2016,7,7,20,12,5, 
2016,7,7,21,20,5, 
2016,7,7,22,14,5, 
2016,7,7,23,12,5, 
2016,7,7,24,8,5, 
2016,7,8,0,345,6, 
2016,7,8,1,5,6, 
2016,7,8,2,2,6, 
2016,7,8,3,1,6, 
2016,7,8,5,1,6, 
2016,7,8,7,1,6, 
2016,7,8,8,5,6, 
2016,7,8,9,14,6, 
2016,7,8,10,11,6, 
2016,7,8,11,9,6, 
2016,7,8,12,22,6, 
2016,7,8,13,30,6, 
2016,7,8,14,25,6, 
2016,7,8,15,25,6, 
2016,7,8,16,19,6, 
2016,7,8,17,15,6, 
2016,7,8,18,27,6, 
2016,7,8,19,35,6, 
2016,7,8,20,30,6, 
2016,7,8,21,23,6, 
2016,7,8,22,19,6, 
2016,7,8,23,15,6, 
2016,7,8,24,11,6, 
2016,7,9,0,421,7, 
2016,7,9,1,4,7, 
2016,7,9,2,1,7, 
2016,7,9,3,7,7, 
2016,7,9,4,4,7, 
2016,7,9,6,1,7, 
2016,7,9,7,5,7, 
2016,7,9,8,8,7, 
2016,7,9,9,8,7, 
2016,7,9,10,8,7, 
2016,7,9,11,19,7, 
2016,7,9,12,22,7, 
2016,7,9,13,21,7, 
2016,7,9,14,30,7, 
2016,7,9,15,41,7, 
2016,7,9,16,40,7, 
2016,7,9,17,52,7, 
2016,7,9,18,29,7, 
2016,7,9,19,33,7, 
2016,7,9,20,19,7, 
2016,7,9,21,31,7, 
2016,7,9,22,18,7, 
2016,7,9,23,14,7, 
2016,7,9,24,6,7, 
2016,7,10,0,334,1, 
2016,7,10,1,6,1, 
2016,7,10,2,3,1, 
2016,7,10,4,1,1, 
2016,7,10,6,1,1, 
2016,7,10,7,3,1, 
2016,7,10,8,2,1, 
2016,7,10,9,3,1, 
2016,7,10,10,7,1, 
2016,7,10,11,20,1, 
2016,7,10,12,22,1, 
2016,7,10,13,31,1, 
2016,7,10,14,29,1, 
2016,7,10,15,31,1, 
2016,7,10,16,27,1, 
2016,7,10,17,32,1, 
2016,7,10,18,20,1, 
2016,7,10,19,19,1, 
2016,7,10,20,18,1, 
2016,7,10,21,28,1, 
2016,7,10,22,9,1, 
2016,7,10,23,16,1, 
2016,7,10,24,6,1, 
2016,7,11,0,350,2, 
2016,7,11,1,9,2, 
2016,7,11,2,1,2, 
2016,7,11,4,2,2, 
2016,7,11,7,7,2, 
2016,7,11,8,13,2, 
2016,7,11,9,19,2, 
2016,7,11,10,9,2, 
2016,7,11,11,12,2, 
2016,7,11,12,14,2, 
2016,7,11,13,31,2, 
2016,7,11,14,34,2, 
2016,7,11,15,21,2, 
2016,7,11,16,14,2, 
2016,7,11,17,16,2, 
2016,7,11,18,27,2, 
2016,7,11,19,28,2, 
2016,7,11,20,28,2, 
2016,7,11,21,29,2, 
2016,7,11,22,19,2, 
2016,7,11,23,10,2, 
2016,7,11,24,7,2, 
2016,7,12,0,533,3, 
2016,7,12,1,3,3, 
2016,7,12,2,2,3, 
2016,7,12,3,4,3, 
2016,7,12,4,1,3, 
2016,7,12,6,3,3, 
2016,7,12,7,3,3, 
2016,7,12,8,17,3, 
2016,7,12,9,30,3, 
2016,7,12,10,24,3, 
2016,7,12,11,20,3, 
2016,7,12,12,43,3, 
2016,7,12,13,70,3, 
2016,7,12,14,47,3, 
2016,7,12,15,30,3, 
2016,7,12,16,40,3, 
2016,7,12,17,28,3, 
2016,7,12,18,37,3, 
2016,7,12,19,36,3, 
2016,7,12,20,31,3, 
2016,7,12,21,22,3, 
2016,7,12,22,17,3, 
2016,7,12,23,17,3, 
2016,7,12,24,8,3, 
2016,7,13,0,535,4, 
2016,7,13,1,4,4, 
2016,7,13,2,3,4, 
2016,7,13,3,7,4, 
2016,7,13,4,2,4, 
2016,7,13,6,1,4, 
2016,7,13,7,11,4, 
2016,7,13,8,19,4, 
2016,7,13,9,33,4, 
2016,7,13,10,30,4, 
2016,7,13,11,18,4, 
